Room Number,Room Type,Price,Availability
0,Standard,250.0,True
5,Standard,250.0,True
10,Standard,250.0,True
15,Standard,250.0,True
20,Standard,250.0,True
25,Standard,250.0,True
30,Standard,250.0,False
35,Standard,250.0,True
40,Standard,250.0,True
45,Standard,250.0,True
50,Standard,250.0,True
55,Standard,250.0,True
60,Standard,250.0,True
65,Standard,250.0,True
70,Standard,250.0,True
75,Standard,250.0,True
80,Standard,250.0,True
85,Standard,250.0,True
90,Standard,250.0,True
95,Standard,250.0,True
100,Family,450.0,True
105,Family,450.0,True
110,Family,450.0,True
115,Family,450.0,True
120,Family,450.0,True
125,Family,450.0,True
130,Family,450.0,True
135,Family,450.0,True
140,Family,450.0,True
145,Family,450.0,True
150,Deluxe,700.0,True
155,Deluxe,700.0,True
160,Deluxe,700.0,True
165,Deluxe,700.0,True
170,Deluxe,700.0,True
175,Deluxe,700.0,True
180,Deluxe,700.0,True
185,Deluxe,700.0,True
190,Deluxe,700.0,True
195,Deluxe,700.0,True
200,Penthouse,1500.0,True
210,Penthouse,1500.0,True
220,Penthouse,1500.0,True
230,Penthouse,1500.0,True
240,Penthouse,1500.0,False
250,Penthouse,1500.0,True
260,Penthouse,1500.0,True
270,Penthouse,1500.0,False
280,Penthouse,1500.0,True
290,Penthouse,1500.0,False
